date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:09	1/1	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Sep%202025%2023:30:08%20GMT	https://app.monetizze.com.br/r/AXA25116053	C:/Meus%20Sites/project/app.monetizze.com.br/r/AXA25116053.0.delayed	(from )
19:30:09	131/131	---MCZ	200	added ('OK')	text/plain	etag:%226710-1757504024;gz%22	https://secarcomsaude.online/robots.txt		(from )
19:30:10	500833/500833	---MCZ	200	added ('OK')	text/html	etag:%226751-1757530305;gz%22	https://secarcomsaude.online/?mcr=AXA25116053	C:/Meus%20Sites/project/secarcomsaude.online/index856f.html	(from )
19:30:10	218896/218896	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2018%20Aug%202024%2006:54:40%20GMT	https://secarcomsaude.online/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.30.0	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsc63f.eot	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:10	97132/97132	---M--	200	added ('OK')	font/woff2	date:Sun,%2018%20Aug%202024%2006:54:40%20GMT	https://secarcomsaude.online/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.30.0	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsc63f.woff2	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:10	118972/118972	---M--	200	added ('OK')	font/woff	date:Sun,%2018%20Aug%202024%2006:54:40%20GMT	https://secarcomsaude.online/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.30.0	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsc63f.woff	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:11	218736/218736	---M--	200	added ('OK')	font/ttf	date:Sun,%2018%20Aug%202024%2006:54:40%20GMT	https://secarcomsaude.online/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.30.0	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsc63f.ttf	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:11	330797/330797	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2018%20Aug%202024%2006:54:40%20GMT	https://secarcomsaude.online/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.30.0	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsc63f.svg	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:11	27544/27544	---M--	200	added ('OK')	image/webp	date:Wed,%2031%20May%202023%2002:25:09%20GMT	https://secarcomsaude.online/wp-content/uploads/2023/05/logo-guia-emagrecer-definitivo-1024x393.webp	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/uploads/2023/05/logo-guia-emagrecer-definitivo-1024x393.webp	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:11	29272/29272	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20May%202024%2019:14:26%20GMT	https://secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/dm-sans/DMSans-Regular.woff2	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/dm-sans/DMSans-Regular.woff2	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:11	32492/32492	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20May%202024%2019:14:26%20GMT	https://secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/dm-sans/DMSans-Regular-Italic.woff2	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/dm-sans/DMSans-Regular-Italic.woff2	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:12	29272/29272	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20May%202024%2019:14:26%20GMT	https://secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/dm-sans/DMSans-Bold.woff2	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/dm-sans/DMSans-Bold.woff2	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:12	500833/500833	---M-Z	200	added ('OK')	text/html	etag:%226756-1757532280;gz%22	https://secarcomsaude.online/	C:/Meus%20Sites/project/secarcomsaude.online/index.html	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:12	32784/32784	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20May%202024%2019:14:26%20GMT	https://secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/dm-sans/DMSans-Bold-Italic.woff2	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/dm-sans/DMSans-Bold-Italic.woff2	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:12	34700/34700	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20May%202024%2019:14:26%20GMT	https://secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/ibm-plex-mono/IBMPlexMono-Light.woff2	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/ibm-plex-mono/IBMPlexMono-Light.woff2	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:13	34480/34480	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20May%202024%2019:14:26%20GMT	https://secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/ibm-plex-mono/IBMPlexMono-Regular.woff2	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/ibm-plex-mono/IBMPlexMono-Regular.woff2	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:13	38924/38924	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20May%202024%2019:14:26%20GMT	https://secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/ibm-plex-mono/IBMPlexMono-Italic.woff2	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/ibm-plex-mono/IBMPlexMono-Italic.woff2	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:13	35652/35652	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20May%202024%2019:14:26%20GMT	https://secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/ibm-plex-mono/IBMPlexMono-Bold.woff2	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/ibm-plex-mono/IBMPlexMono-Bold.woff2	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:13	803384/803384	---M--	200	added ('OK')	font/ttf	date:Thu,%2009%20May%202024%2019:14:26%20GMT	https://secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/inter/Inter-VariableFont_slnt,wght.ttf	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/inter/Inter-VariableFont_slnt,wght.ttf	(from https://secarcomsaude.online/?mcr=AXA25116053)
19:30:14	428448/428448	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20May%202024%2019:14:26%20GMT	https://secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/source-serif-pro/SourceSerif4Variable-Roman.ttf.woff2	C:/Meus%20Sites/project/secarcomsaude.online/wp-content/themes/twentytwentythree/assets/fonts/source-serif-pro/SourceSerif4Variable-Roman.ttf.woff2	(from https://secarcomsaude.online/?mcr=AXA25116053)
